Part Number	Library Ref	Library Path	Comment	Component Kind	Component Type	PACKAGE	Pin Count	Footprint Path	Footprint Ref	Description	Material	Tolerance	Value	VOLTAGE	CURRENT	WATTAGE	Manufacturer 1	Manufacturer Part Number 1	Supplier 1	Supplier Part Number 1	Manufacturer 2	Manufacturer Part Number 2	Supplier 2	Supplier Part Number 2	Footprint Ref 2	Footprint Path 2
U_AL5809-20mA	U_AL5809		20mA CC	Standard	Standard	PowerDI123	2		SM_DIODE_POWERDI123-12	IC LED DRVR LIN PWM 20MA PDI12				60V	0.02A		Diodes	AL5809-20P1-7	Digi-Key	AL5809-20P1-7DICT-ND						
U_AL5809-30mA	U_AL5809		30mA CC	Standard	Standard	PowerDI123	2		SM_DIODE_POWERDI123-12	30mA 60V Two Terminal Constant Current LED Driver PowerDI				60V	0.03A		Diodes	AL5809-30P1-7	Digi-Key	AL5809-30P1-7DICT-ND						
U_AL5809-40mA	U_AL5809		40mA CC	Standard	Standard	PowerDI123	2		SM_DIODE_POWERDI123-12	40mA 60V Two Terminal Constant Current LED Driver PowerDI				60V	0.04A		Diodes	AL5809-40P1-7	Digi-Key	AL5809-40P1-7DICT-ND						
U_AL5809-50mA	U_AL5809		50mA CC	Standard	Standard	PowerDI123	2		SM_DIODE_POWERDI123-12	50mA 60V Two Terminal Constant Current LED Driver PowerDI				60V	0.05A		Diodes	AL5809-50P1-7	Digi-Key	AL5809-50P1-7DICT-ND						
U_AL5809-60mA	U_AL5809		60mA CC	Standard	Standard	PowerDI123	2		SM_DIODE_POWERDI123-12	60mA 60V Two Terminal Constant Current LED Driver PowerDI				60V	0.06A		Diodes	AL5809-60P1-7	Digi-Key	AL5809-60P1-7DICT-ND						
U_AL5809-90mA	U_AL5809		90mA CC	Standard	Standard	PowerDI123	2		SM_DIODE_POWERDI123-12	90mA 60V Two Terminal Constant Current LED Driver PowerDI				60V	0.09A		Diodes	AL5809-90P1-7	Digi-Key	AL5809-90P1-7DICT-ND						
U_AL5809-150mA	U_AL5809		150mA CC	Standard	Standard	PowerDI123	2		SM_DIODE_POWERDI123-12	150mA 60V Two Terminal Constant Current LED Driver PowerDI				60V	0.15A		Diodes	AL5809-150P1-7	Digi-Key	AL5809-150P1-7DICT-ND						
U_AL8806	U_AL8806		AL8806	Standard	Standard	8-TSSOP-EP	8		SM_8-TSSOP_EP	IC LED DRVR OFFL DIM 1.5A 8MSOP 				36V	1.5A		Diodes	AL8806MP8-13	Digi-Key	AL8806MP8-13DICT-ND						
U_AL8806_SOT23-5	U_AL8806_SOT23-5		AL8806_SOT23-5	Standard	Standard	SOT-23-5	5		SM_SOT-23-5	IC LED DRIVER RGLTR DIM 1A SOT25			36V	36V	1A		Diodes	AL8805W5-7	Digi-Key	AL8805W5-7DICT-ND						
U_AL8860	U_AL8806		AL8860	Standard	Standard	8-TSSOP-EP	8		SM_8-TSSOP_EP	IC LED DRVR OFFL DIM 1.5A 8MSOP				40V	1.5A		Diodes	AL8860MP-13	Digi-Key	AL8860MP-13DICT-ND						
U_AL8860_SOT23-5	U_AL8806_SOT23-5		AL8860_SOT23-5	Standard	Standard	SOT-23-5	5		SM_SOT-23-5	IC LED DRIVER RGLTR DIM 1A SOT25				40V	1A		Diodes	AL8860WT-7	Digi-Key	AL8860WT-7DICT-ND						
U_AOZ1282CI	U_AOZ1282CI		AOZ1282CI	Standard	Standard	SOT23-6	6		SM_SOT23-6	IC REG BUCK ADJ 1.2A SOT23-6				ADJ	1.2A		Alpha & Omega	AOZ1282CI	Digi-Key	785-1613-1-ND					Flex_SOT23-6	
U_AP2125N	U_AP2125N		AP2125N-3.3	Standard	Standard	SM_SOT23-3	3		SM_SOT23-3	3.3V Linear Regulator 300mA		2%		3.3V	300mA		Diodes	AP2125N-3.3TRG1	Digi-Key	AP2125N-3.3TRG1DICT-ND						
U_AP2141W	U_AP2141W		AP2141W	Standard	Standard	SOT23-5	3		SOT23-5	USB Switch 500mA				5V	500mA		Diodes	AP2141WG	Digi-Key	AP2141WGDICT-ND						
U_AS4C4M16D1A	U_AS4C4M16D1A-66		AS4C4M16D1A	Standard	Standard	66-TSOP_0.65M_PITCH	66		66-TSOP	SDRAM 4Mx16bit							Alliance Memory	AS4C4M16D1A-5TCN	Digi-Key	1450-1290-ND						
U_ATMEGA328PB-AU	U_ATMEGA328P		ATMEGA328PB	Standard	Standard	32-TQFP	32		SM_TQFP-32-L	IC MCU 8BIT 32KB FLASH 32TQFP							Atmel	ATMEGA328PB-AU	Digi-Key	ATMEGA328PB-AU-ND						
U_ATXMEGA16C4	U_ATXMEGA16C4		ATXmega16C4	Standard	Standard	44-TQFP_0.8MM_PITCH	44		44-TQFP_0.8MM_PITCH	Atmel Microcontroller							Atmel	ATXMEGA16C4-AU	Digi-Key	ATXMEGA16C4-AU-ND						
U_AUIPS7111S	U_AUIPS7111S		AUIPS7111S	Standard	Standard	PG-TO263-5	5		SM_PG-TO263-5	IC DVR CURRENT SENSE 1CH D2PAK-5			6mOhm	50V	10A		Infineon Technologies	AUIPS7111STRL	Digi-Key	AUIPS7111STRLCT-ND						
U_BD5228G-TR	U_BD5xxG_volt_supervisor		2.8V Supervisor	Standard	Standard	SC-74A(SOT-753)	5		SM_SC-74A_(SOT-753)	IC DETECTOR VOLT 2.8V ODRN 5SSOP				2.8V			Rohm Semiconductor	BD5228G-TR	Digi-Key	BD5228GCT-ND						
U_BQ24195	U_BQ24195		BQ24195	Standard	Standard	QFN-24	25		RGE24-2700X2700TP	I2C Controlled 4.5A Single Cell USB/Adapter Charger with Boost							Texas Instruments	BQ24195RGET	Digi-Key	296-35048-1-ND						
