Part Number	Library Ref	Library Path	Comment	Component Kind	Component Type	PACKAGE	Pin Count	Footprint Path	Footprint Ref	Description	Material	Tolerance	Value	VOLTAGE	CURRENT	WATTAGE	Manufacturer 1	Manufacturer Part Number 1	Supplier 1	Supplier Part Number 1	Manufacturer 2	Manufacturer Part Number 2	Supplier 2	Supplier Part Number 2	Footprint Ref 2	Footprint Path 2
D_SHKY_3A_60V_SMA	D_SHKY		B360A-13-F	Standard	Standard	SMA	2		SM_DIODE_SMA	DIODE SCHOTTKY 60V 3A SMA				60V	3A		Diodes Inc.	B360A-13-F	Digi-Key	B360A-FDICT-ND						
D_SHKY_3A_100V_SOD128	D_SHKY		PMEG10030ELP	Standard	Standard	SOD-128	2		SM_SOD-128	DIODE SCHOTTKY 100V 3A SOD128				100V	3A		Nexperia USA Inc.	PMEG10030ELPX	Digi-Key	1727-2397-1-ND						
D_SHKY_4A_100V_NRVTSA4100	D_SHKY		NRVTSA4100ET3G	Standard	Standard	SMA	2		SM_DIODE_SMA	DIODE SCHOTTKY 100V 4A SMA				100V	4A		ON Semiconductor	NRVTSA4100ET3G	Digi-Key	NRVTSA4100ET3GOSCT-ND						
D_SHKY_3A_100V_SMAF	D_SHKY		SK510AFL-TP	Standard	Standard	SMA-F	2		SM_DIODE_SMA-F	DIODE SCHOTTKY 100V 5A DO221AC				100V	5A		Micro Commercial	SK510AFL-TP	Digi-Key	SK510AFL-TPMSCT-ND						
D_SHKY_4A_200V_SMB	D_SHKY		STTH4R02U	Standard	Standard	SMB	2		SM_DIODE_SMB	"Diode, Schottky"				200V	4A		Vishay Dale	CRCW20100000Z0EF	Digi-Key	541-0.0WCT-ND						
D_SHKY_5A_30V_TMINIP2	D_SHKY		DB2431200L	Standard	Standard	SOD-128	2		SM_SOD-128	DIODE SCHOTTKY 30V 5A TMINIP2				30V	5A		Panasonic Electronic Components	DB2431200L	Digi-Key	DB2431200LCT-ND						
D_SHKY_5A_40V_SMA	D_SHKY		CDBA540-HF	Standard	Standard	SMA	2		SM_DIODE_SMA	DIODE SCHOTTKY 40V 5A DO214AC				40V	5A		Comchip Technology	CDBA540-HF	Digi-Key	641-1707-1-ND						
D_SHKY_5A_40V_SOD128	D_SHKY		PMEG40T50EPX	Standard	Standard	SOD-128	2		SM_SOD-128	DIODE SCHOTTKY 40V 5A CFP5				40V	5A		Nexperia USA Inc.	PMEG40T50EPX	Digi-Key	1727-7483-1-ND						
D_SHKY_5A_60V_SMC	D_SHKY		B560C-13-F	Standard	Standard	SMC	2		SM_DIODE_SMC	"Diode, Schottky"				60V	5A		Diodes Inc.	B560C-13-F	Digi-Key	B560C-FDITR-ND						
D_SHKY_5A_100V_POWERDI5	D_SHKY		PDS5100H-13	Standard	Standard	POWERDI5	2		SM_POWERDI5	100 V 5 A High Voltage Schottky Barrier Rectifier - PowerDI-5				100V	5A		Diodes Inc.	pds5100h-13	Digi-Key	PDS5100HDICT-ND						
